date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:00:57	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2026%20Dec%202021%2020:31:01%20GMT	https://www.dariaizbash.com/robots.txt		(from )
02:00:57	48813/48813	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:02%20GMT	https://www.dariaizbash.com/	www.dariaizbash.com/index.html	(from )
02:00:57	315410/315410	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:03%20GMT	https://www.dariaizbash.com/projects	www.dariaizbash.com/projects.html	(from https://www.dariaizbash.com/)
02:00:58	70951/70951	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:04%20GMT	https://www.dariaizbash.com/about	www.dariaizbash.com/about.html	(from https://www.dariaizbash.com/)
02:00:59	20538/20538	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:05%20GMT	https://www.dariaizbash.com/project/the-child-of-the-typhoon	www.dariaizbash.com/project/the-child-of-the-typhoon.html	(from https://www.dariaizbash.com/)
02:01:00	16131/16131	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:06%20GMT	https://www.dariaizbash.com/project/autumn-in-june	www.dariaizbash.com/project/autumn-in-june.html	(from https://www.dariaizbash.com/)
02:01:01	21245/21245	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:07%20GMT	https://www.dariaizbash.com/project/unseen	www.dariaizbash.com/project/unseen.html	(from https://www.dariaizbash.com/)
02:01:02	18928/18928	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:08%20GMT	https://www.dariaizbash.com/project/sparks-of-vivid-dreams	www.dariaizbash.com/project/sparks-of-vivid-dreams.html	(from https://www.dariaizbash.com/)
02:01:03	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2026%20Dec%202021%2020:31:09%20GMT	https://www.dariaizbash.com/%22https://uploads-ssl.webflow.com/60e1a40f2278dc1f5e50dace/60f7243b70b18e62acd1f0f1_back-poster-00001.jpg%22	www.dariaizbash.com/_https_/uploads-ssl.webflow.com/60e1a40f2278dc1f5e50dace/60f7243b70b18e62acd1f0f1_back-poster-00001.jpg_	(from https://www.dariaizbash.com/)
02:01:04	23157/23157	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:10%20GMT	https://www.dariaizbash.com/project/waves-flutter	www.dariaizbash.com/project/waves-flutter.html	(from https://www.dariaizbash.com/projects)
02:01:05	16437/16437	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:31:11%20GMT	https://www.dariaizbash.com/project/blur	www.dariaizbash.com/project/blur.html	(from https://www.dariaizbash.com/projects)
02:01:06	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2026%20Dec%202021%2020:31:12%20GMT	https://www.dariaizbash.com/project/shanghai-nights	www.dariaizbash.com/project/shanghai-nights	(from https://www.dariaizbash.com/projects)
