date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:57	1101/1101	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%228d9-5b2a3a3caa59b-gzip%22	https://amen.team/robots.txt		(from )
22:33:58	2265/2265	U--M-Z	200	updated ('OK')	text/html	etag:%228d9-5b2a3a3caa59b-gzip%22	https://amen.team/	amen.team/index.html	(from )
22:34:25	14429/14429	U-----	200	untouched ('OK')	text/css	etag:W/%225f97e602-385d%22	https://amen.team/css/chunk-vendors.cb89112f.css	amen.team/css/chunk-vendors.cb89112f.css	(from https://amen.team/)
22:34:25	542437/542437	U-----	200	untouched ('OK')	text/css	etag:W/%225f97e603-846e5%22	https://amen.team/css/app.bd0a4bb8.css	amen.team/css/app.bd0a4bb8.css	(from https://amen.team/)
22:34:26	457392/457392	U-----	200	untouched ('')	application/javascript	etag:W/%2260c99c09-6fab0%22	https://amen.team/js/app.f5280a06.js	amen.team/js/app.f5280a06.js	(from https://amen.team/)
22:34:26	647850/647850	U-----	200	untouched ('')	application/javascript	etag:W/%225f97e7ac-9e2aa%22	https://amen.team/js/chunk-vendors.a28e3c04.js	amen.team/js/chunk-vendors.a28e3c04.js	(from https://amen.team/)
22:34:53	3401/3401	U-----	200	untouched ('')	application/javascript	etag:W/%225ebbb928-d49%22	https://amen.team/modernizr-webp.js	amen.team/modernizr-webp.js	(from https://amen.team/)
22:34:53	670/670	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%225f74418f-29e%22	https://amen.team/img/checked-icon.710dfdb9.svg	amen.team/img/checked-icon.710dfdb9.svg	(from https://amen.team/css/app.bd0a4bb8.css)
22:34:54	5252/5252	U-----	200	untouched ('')	application/octet-stream	etag:%225ebbb943-1484%22	https://amen.team/fonts/fontello.dc0a7508.ttf	amen.team/fonts/fontello.dc0a7508.ttf	(from https://amen.team/css/app.bd0a4bb8.css)
22:34:54	5420/5420	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225ebbb943-152c%22	https://amen.team/fonts/fontello.bc6964a6.eot	amen.team/fonts/fontello.bc6964a6.eot	(from https://amen.team/css/app.bd0a4bb8.css)
22:35:20	1083/1083	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%225f7441aa-43b%22	https://amen.team/img/fontello.02411366.svg	amen.team/img/fontello.02411366.svg	(from https://amen.team/css/app.bd0a4bb8.css)
22:35:21	234620/234620	U-----	200	untouched ('')	image/jpeg	etag:%225f7441f3-3947c%22	https://amen.team/img/phantasma-grid.6cf83e4c.jpg	amen.team/img/phantasma-grid.6cf83e4c.jpg	(from https://amen.team/css/app.bd0a4bb8.css)
22:35:22	96446/96446	U-----	200	untouched ('')	image/webp	etag:%225f7441df-178be%22	https://amen.team/img/nos-bg.e6f95585.webp	amen.team/img/nos-bg.e6f95585.webp	(from https://amen.team/css/app.bd0a4bb8.css)
22:35:22	110601/110601	U-----	200	untouched ('')	image/jpeg	etag:%225f7441dd-1b009%22	https://amen.team/img/nos-bg.1a51639a.jpg	amen.team/img/nos-bg.1a51639a.jpg	(from https://amen.team/css/app.bd0a4bb8.css)
22:35:48	192432/192432	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225ebbb948-2efb0%22	https://amen.team/fonts/SFUIDisplay-Light.e8d9c479.eot	amen.team/fonts/SFUIDisplay-Light.e8d9c479.eot	(from https://amen.team/css/app.bd0a4bb8.css)
22:35:49	192432/192432	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%225ebbb948-2efb0%22	https://amen.team/fonts/SFUIDisplay-Light.e8d9c479.eot?	amen.team/fonts/SFUIDisplay-Light.e8d9c479d41d.eot	(from https://amen.team/css/app.bd0a4bb8.css)
