date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:19:27	167851/167851	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:49:32%20GMT	https://baillatstudio.com/en	baillatstudio.com/en.html	(from )
02:19:28	87/87	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%2247-5cf4842b060a6-gzip%22	https://baillatstudio.com/robots.txt		(from )
02:19:29	167974/167974	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:49:35%20GMT	https://baillatstudio.com/fr	baillatstudio.com/fr.html	(from https://baillatstudio.com/en)
02:19:29	129921/129921	---M--	200	added ('OK')	image/png	etag:%221fb81-5cf446f1a92b4%22	https://baillatstudio.com/uploads/metadata/images/share.png	baillatstudio.com/uploads/metadata/images/share.png	(from https://baillatstudio.com/en)
02:19:30	335/335	---M--	200	added ('OK')	text/html	etag:%2214f-5cf41d7024c00%22	https://baillatstudio.com/site.webmanifest	baillatstudio.com/site.html	(from https://baillatstudio.com/en)
02:19:31	1927/1927	---M--	200	added ('OK')	image/png	etag:%22787-5cf41d6fb8589%22	https://baillatstudio.com/assets/images/favicons/apple-touch-icon.png	baillatstudio.com/assets/images/favicons/apple-touch-icon.png	(from https://baillatstudio.com/en)
02:19:32	827/827	---M--	200	added ('OK')	image/png	etag:%2233b-5cf41d6fb8589%22	https://baillatstudio.com/assets/images/favicons/favicon-32x32.png	baillatstudio.com/assets/images/favicons/favicon-32x32.png	(from https://baillatstudio.com/en)
02:19:33	617/617	---M--	200	added ('OK')	image/png	etag:%22269-5cf41d6fb8589%22	https://baillatstudio.com/assets/images/favicons/favicon-16x16.png	baillatstudio.com/assets/images/favicons/favicon-16x16.png	(from https://baillatstudio.com/en)
02:19:34	4287/4287	---M-Z	200	added ('OK')	image/svg+xml	etag:%2210bf-5cf41d6fb8589-gzip%22	https://baillatstudio.com/assets/images/favicons/safari-pinned-tab.svg	baillatstudio.com/assets/images/favicons/safari-pinned-tab.svg	(from https://baillatstudio.com/en)
02:19:36	308558/308558	---M-Z	200	added ('OK')	text/css	etag:%224b54e-5d2a6d69f2859-gzip%22	https://baillatstudio.com/assets/styles/main.css?v=202111091637	baillatstudio.com/assets/styles/mainbba9.css	(from https://baillatstudio.com/en)
02:19:37	426/426	---M--	200	added ('OK')	text/html	etag:%221aa-5cf41d6fb8971%22	https://baillatstudio.com/assets/images/favicons/site.webmanifest	baillatstudio.com/assets/images/favicons/site.html	(from https://baillatstudio.com/en)
02:19:38	1342/1342	---M-Z	200	added ('OK')	image/svg+xml	etag:%2253e-5cf41d6fb81a1-gzip%22	https://baillatstudio.com/assets/images/favicon.svg	baillatstudio.com/assets/images/favicon.svg	(from https://baillatstudio.com/en)
02:19:39	8848/8848	---M-Z	200	added ('OK')	image/svg+xml	etag:%222290-5cf41d6fba0e2-gzip%22	https://baillatstudio.com/assets/images/sprite.svg	baillatstudio.com/assets/images/sprite.svg	(from https://baillatstudio.com/en)
02:19:40	156787/156787	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:49:46%20GMT	https://baillatstudio.com/en/identity	baillatstudio.com/en/identity.html	(from https://baillatstudio.com/en)
02:19:41	34918/34918	---M--	200	added ('OK')	image/jpeg	etag:%228866-5d04d103d0d91%22	https://baillatstudio.com/uploads/project/Video_Intra/2019_09_04_Baillat7138-420x190.jpg	baillatstudio.com/uploads/project/Video_Intra/2019_09_04_Baillat7138-420x190.jpg	(from https://baillatstudio.com/en)
02:19:41	86948/86948	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:49:47%20GMT	https://baillatstudio.com/en/experience	baillatstudio.com/en/experience.html	(from https://baillatstudio.com/en)
02:19:43	29096/29096	---M--	200	added ('OK')	image/jpeg	etag:%2271a8-5cf5a769082fb%22	https://baillatstudio.com/uploads/project/XP_EXPERIENCE/02_SPECTACLESETSCENOS/HELENE_FISCHER/HF_Header-420x190.jpg	baillatstudio.com/uploads/project/XP_EXPERIENCE/02_SPECTACLESETSCENOS/HELENE_FISCHER/HF_Header-420x190.jpg	(from https://baillatstudio.com/en)
02:19:44	54154/54154	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:49:50%20GMT	https://baillatstudio.com/en/about	baillatstudio.com/en/about.html	(from https://baillatstudio.com/en)
02:19:44	21096/21096	---M--	200	added ('OK')	image/jpeg	etag:%225268-5cf5a76f06b0f%22	https://baillatstudio.com/uploads/project/06_PROJETS_SPECIAUX/BAILLAT_3ANS/BAILLAT3ANS_2.1-420x190.jpg	baillatstudio.com/uploads/project/06_PROJETS_SPECIAUX/BAILLAT_3ANS/BAILLAT3ANS_2.1-420x190.jpg	(from https://baillatstudio.com/en)
02:19:46	25685/25685	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2020:49:51%20GMT	https://baillatstudio.com/en/let-s-talk	baillatstudio.com/en/let-s-talk.html	(from https://baillatstudio.com/en)
02:19:47	131149/131149	---M--	200	added ('OK')	image/jpeg	etag:%222004d-5d0667d9396dc%22	https://baillatstudio.com/uploads/project/Accueil/LAMBORGHINI_Posts_BaillatSTudio-01A-2-420x190.jpg	baillatstudio.com/uploads/project/Accueil/LAMBORGHINI_Posts_BaillatSTudio-01A-2-420x190.jpg	(from https://baillatstudio.com/en)
02:19:48	1069/1069	---M--	200	added ('OK')	image/jpeg	etag:%2242d-5cf4442967245%22	https://baillatstudio.com/uploads/project/01_EDITION/JOHN_SMITH/JOHNSMITH_1-150x90.jpg	baillatstudio.com/uploads/project/01_EDITION/JOHN_SMITH/JOHNSMITH_1-150x90.jpg	(from https://baillatstudio.com/en)
02:19:51	2784/2784	---M--	200	added ('OK')	image/jpeg	etag:%22ae0-5cf4424fafca5%22	https://baillatstudio.com/uploads/project/06_PROJETS_SPECIAUX/BAILLAT_3ANS/BAILLAT3ANS_2-150x90.jpg	baillatstudio.com/uploads/project/06_PROJETS_SPECIAUX/BAILLAT_3ANS/BAILLAT3ANS_2-150x90.jpg	(from https://baillatstudio.com/en)
