date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:02:50	1101/1101	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:1628624243-ssl-df	https://moremedia.tv/robots.txt		(from )
04:02:52	59374/59374	U-----	200	untouched ('OK')	text/html	etag:%226711d227cd27ee93ff8eb47dad24074d-ssl-df%22	https://moremedia.tv/	moremedia.tv/index.html	(from )
04:03:15	6778/6778	U-----	200	untouched ('')	image/png	etag:%22a9005585e2d99a2f1606c17fd0fa9f5e-ssl%22	https://moremedia.tv/favicon.png	moremedia.tv/favicon.png	(from https://moremedia.tv/)
04:03:18	221109/221109	U-----	200	untouched ('')	application/javascript	etag:%22ec30bdce5ff55fd900805dfe6e8e8bb8-ssl-df%22	https://moremedia.tv/_nuxt/9948f1b.js	moremedia.tv/_nuxt/9948f1b.js	(from https://moremedia.tv/)
04:03:18	3250/3250	U-----	200	untouched ('')	application/javascript	etag:%222c54c7a8e2f8b27642735ef23d09b9d2-ssl-df%22	https://moremedia.tv/_nuxt/671e55a.js	moremedia.tv/_nuxt/671e55a.js	(from https://moremedia.tv/)
04:03:18	148722/148722	U-----	200	untouched ('')	application/javascript	etag:%228f141ad03d5affdc5e871c90a9b7fad0-ssl-df%22	https://moremedia.tv/_nuxt/f65aeb6.js	moremedia.tv/_nuxt/f65aeb6.js	(from https://moremedia.tv/)
04:03:41	68835/68835	U-----	200	untouched ('')	application/javascript	etag:%222afecc8b7236744d6fdd537870069f28-ssl-df%22	https://moremedia.tv/_nuxt/5689060.js	moremedia.tv/_nuxt/5689060.js	(from https://moremedia.tv/)
04:03:41	51668/51668	U-----	200	untouched ('')	font/woff2	etag:%22670939895cc8d481183f19d3165e76c8-ssl%22	https://moremedia.tv/_nuxt/fonts/WhyteInktrap-Light.50726a9.woff2	moremedia.tv/_nuxt/fonts/WhyteInktrap-Light.50726a9.woff2	(from https://moremedia.tv/)
04:03:43	41771/41771	U-----	200	untouched ('')	application/javascript	etag:%223ab4a7403ae454d99eefbcb8f43c5422-ssl-df%22	https://moremedia.tv/_nuxt/f2c538d.js	moremedia.tv/_nuxt/f2c538d.js	(from https://moremedia.tv/)
04:03:44	65992/65992	U-----	200	untouched ('')	application/font-woff	etag:%225c8675e2eb771a938ec60ecac4f59cc8-ssl-df%22	https://moremedia.tv/_nuxt/fonts/WhyteInktrap-Light.1d97080.woff	moremedia.tv/_nuxt/fonts/WhyteInktrap-Light.1d97080.woff	(from https://moremedia.tv/)
04:04:04	54440/54440	U-----	200	untouched ('')	font/woff2	etag:%22066080dfff2d9780ecffc57e4d592123-ssl%22	https://moremedia.tv/_nuxt/fonts/WhyteInktrap-LightItalic.cca332d.woff2	moremedia.tv/_nuxt/fonts/WhyteInktrap-LightItalic.cca332d.woff2	(from https://moremedia.tv/)
04:04:07	50628/50628	U-----	200	untouched ('')	font/woff2	etag:%222d2ab6dc9d21db21b58d4f385128585a-ssl%22	https://moremedia.tv/_nuxt/fonts/WhyteInktrap-Regular.e765a3e.woff2	moremedia.tv/_nuxt/fonts/WhyteInktrap-Regular.e765a3e.woff2	(from https://moremedia.tv/)
