date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:51:53	120/120	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sun,%2026%20Dec%202021%2021:21:58%20GMT	https://www.vovi.studio/robots.txt		(from )
02:51:53	92622/92622	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:21:59%20GMT	https://www.vovi.studio/	www.vovi.studio/index.html	(from )
02:51:53	56352/56352	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:21:59%20GMT	https://www.vovi.studio/works	www.vovi.studio/works.html	(from https://www.vovi.studio/)
02:51:54	61727/61727	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:00%20GMT	https://www.vovi.studio/about	www.vovi.studio/about.html	(from https://www.vovi.studio/)
02:51:55	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2026%20Dec%202021%2021:22:01%20GMT	https://www.vovi.studio/our-services	www.vovi.studio/our-services	(from https://www.vovi.studio/)
02:51:56	47499/47499	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:02%20GMT	https://www.vovi.studio/blog	www.vovi.studio/blog.html	(from https://www.vovi.studio/)
02:51:57	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2026%20Dec%202021%2021:22:03%20GMT	https://www.vovi.studio/contact	www.vovi.studio/contact	(from https://www.vovi.studio/)
02:51:58	69760/69760	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:04%20GMT	https://www.vovi.studio/services/brands	www.vovi.studio/services/brands.html	(from https://www.vovi.studio/)
02:51:59	67600/67600	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:05%20GMT	https://www.vovi.studio/services/digital-marketing	www.vovi.studio/services/digital-marketing.html	(from https://www.vovi.studio/)
02:52:00	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2026%20Dec%202021%2021:22:06%20GMT	https://www.vovi.studio/services/websites	www.vovi.studio/services/websites	(from https://www.vovi.studio/)
02:52:01	63813/63813	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:07%20GMT	https://www.vovi.studio/services/video	www.vovi.studio/services/video.html	(from https://www.vovi.studio/)
02:52:02	99381/99381	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:08%20GMT	https://www.vovi.studio/works/beyond	www.vovi.studio/works/beyond.html	(from https://www.vovi.studio/)
02:52:03	100455/100455	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:09%20GMT	https://www.vovi.studio/works/stryve	www.vovi.studio/works/stryve.html	(from https://www.vovi.studio/)
02:52:04	132768/132768	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:10%20GMT	https://www.vovi.studio/works/stanleys	www.vovi.studio/works/stanleys.html	(from https://www.vovi.studio/)
02:52:05	97683/97683	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:11%20GMT	https://www.vovi.studio/works/ocean-bottle	www.vovi.studio/works/ocean-bottle.html	(from https://www.vovi.studio/)
02:52:06	96926/96926	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:22:12%20GMT	https://www.vovi.studio/works/the-seaweed-company	www.vovi.studio/works/the-seaweed-company.html	(from https://www.vovi.studio/)
